Beaker,Predation,Num_inf,Num_uninf
1,Random,4,11
2,Uninfected,4,6
3,Uninfected,6,5
4,Random,5,2
5,Infected,6,7
6,Random,1,11
7,Uninfected,9,7
8,Infected,4,8
9,Uninfected,5,4
10,Infected,6,11
11,Uninfected,4,3
12,Random,1,1
13,Infected,2,14
14,Random,0,2
15,Random,4,6
16,Uninfected,5,3
17,Uninfected,8,4
18,Uninfected,11,3
19,Infected,1,9
20,Infected,1,4
21,Uninfected,5,11
22,Infected,6,6
23,Random,2,10
24,Infected,2,9
25,Infected,3,2
26,Random,1,10
27,Uninfected,7,11
28,Random,1,1
29,Random,4,13
30,Infected,3,12
